Cod_ril;group;PV;N_Landolt;Slope;Elevation
1;1-shrub encroached;16.4;2.43;31.058205;1509.77002
2;1-shrub encroached;11.768293;2.28;35.188145;1509.040039
3;1-shrub encroached;7.844828;2.56;30.286301;2195.096924
4;1-shrub encroached;8.916667;2.29;29.091051;1216.52002
5;1-shrub encroached;10.578512;2.41;30.164555;1537.689941
6;1-shrub encroached;30.082645;2.68;30.295961;2037.349976
7;1-shrub encroached;12.027027;2.39;9.391368;1850.832031
8;1-shrub encroached;16.428571;2.36;30.362213;2082.802002
9;1-shrub encroached;9;2.48;27.142509;1870.036011
10;1-shrub encroached;12.344498;2.42;27.531702;1710.069946
11;6 - snow bed;17.939394;2.36;15.695395;2391.853027
12;6 - snow bed;17.777778;2.41;9.459946;2493.643066
13;6 - snow bed;22.55814;2.22;10.293458;2767.608887
14;6 - snow bed;24.102564;2.43;7.65589;2659.461914
15;6 - snow bed;5.454545;1.89;18.437597;2667.332031
16;6 - snow bed;20.444444;2.29;4.167084;2686.274902
17;6 - snow bed;17.623762;2.31;6.541142;2745.22998
18;6 - snow bed;26.060606;2.54;35.206974;2690.023926
19;6 - snow bed;18.679245;2.34;27.532528;2546.089111
20;6 - snow bed;19.242424;2.42;2.562053;2432.112061
21;5-nitrophilous;0;4.00;8.482434;1826.92395
22;5-nitrophilous;0.869565;4.00;12.601635;1601.792969
23;5-nitrophilous;8.133333;3.90;14.66472;1419.452026
24;5-nitrophilous;3;3.40;6.782955;1787.963013
25;5-nitrophilous;0.491803;3.92;16.106022;1959.305054
26;5-nitrophilous;15.804196;3.95;13.81695;1603.208008
27;5-nitrophilous;7.647059;4.06;3.770132;2045.004028
28;5-nitrophilous;2.545455;4.10;30.006258;1587.625
29;5-nitrophilous;10.962963;3.64;10.347974;1666.024048
30;5-nitrophilous;8.533333;3.96;7.413928;1356.800049
31;4-eutrophic;40.119048;3.15;12.117837;1752.605957
32;4-eutrophic;40.552764;3.40;19.077051;1850.814941
33;4-eutrophic;43.387978;3.27;3.132071;2032.220947
34;4-eutrophic;48.628571;3.28;12.166844;1895.359985
35;4-eutrophic;42.248062;3.32;16.173532;1755.207031
36;4-eutrophic;42.482759;2.95;24.792702;1540.91394
37;4-eutrophic;42.368421;3.05;14.274368;1790.93396
38;4-eutrophic;41.604938;3.24;9.576153;1935.352051
39;4-eutrophic;47.837838;3.33;8.362186;1748.996948
